name,team,battingStyle,bowlingStyle,playingRole,description
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"An imposing allrounder, with the skills to take pace off the ball, and a strong lofted drive, Wiese was a late bloomer who came to prominence in the shorter formats. He began his career at Easterns and in 2005 established himself as a regular at the provincial union and the Titans franchise."
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,
Jack Brassell,Namibia,Right hand Bat,Right arm Medium,Bowler,
Nuwan Thushara,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,
Matheesha Pathirana,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"Mendis began his first-class career for Bloomfield Cricket Club in the Premier League Tournament of 2015. He had a middling first season, hitting 459 runs at an average of 30.60, but continued to be followed closely as Sri Lanka moved to flood their Test team with youth. It was Mendis' excellent returns in the Moin-ud-Dowlah three-day tournament in Hyderabad that paved his route to the national team. He was named in the squad to play West Indies in October 2015, and made his debut in the second match of that series.Andrew Fidel Fernando"
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"He began his international career with ambitions of becoming a genuine allrounder, but over time came to give primacy to his batting, effectively playing as a specialist batter in the Test side, providing solidity to the lower-middle order. Against Pakistan in December 2013, he batted for seven and a half hours to make an unbeaten 157 (having already scored 91 in the first innings) and save a Test in Abu Dhabi. "
Aryan Dutt,Netherlands,Right hand Bat,Right arm Offbreak,Bowler,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,
Scott Edwards,Netherlands,Right hand Bat,,Wicketkeeper Batter,"He committed fully, relocating to the Netherlands and getting a Dutch lion tattooed on his ankle, though continued to play grade cricket for Richmond during the Australian summers. He captained Netherlands in both the 2022 T20 World Cup and 2023 ODI World Cup, and his side recorded famous wins over South Africa in both tournaments. "
Kamindu Mendis,Sri Lanka,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder,"When this first-class runs tally was followed by a stretch of good bowling form in List A domestic tournaments, Hasaranga piqued the national selectors' interest. He was chosen in Sri Lanka's squad for the first two one-dayers against Zimbabwe in June 2017, with his fielding also cited as a reason for his selection. And what a debut it subsequently was; he became the third debutant in ODI history to claim a hat-trick when he wiped out Zimbabwe's tail with the 14th, 15th and 16th deliveries of his international career.Andrew Fidel Fernando"
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"He began his international career with ambitions of becoming a genuine allrounder, but over time came to give primacy to his batting, effectively playing as a specialist batter in the Test side, providing solidity to the lower-middle order. Against Pakistan in December 2013, he batted for seven and a half hours to make an unbeaten 157 (having already scored 91 in the first innings) and save a Test in Abu Dhabi. "
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Van Beek made a less than spectacular international debut, in the 2014 T20 World Cup, with three consecutive scores of 1, though he made up with 3 for 9 in Netherlands' memorable win over England. He played just the one international between then and 2021, the year he made his ODI debut. His first ODI fifty came against Sri Lanka in the 2023 World Cup; in the following game, he took four wickets against Australia. Netherlands lost both matches, however."
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,
Michael Levitt,Netherlands,Right hand Bat,Right arm Fast,Top order Batter,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Van Beek made a less than spectacular international debut, in the 2014 T20 World Cup, with three consecutive scores of 1, though he made up with 3 for 9 in Netherlands' memorable win over England. He played just the one international between then and 2021, the year he made his ODI debut. His first ODI fifty came against Sri Lanka in the 2023 World Cup; in the following game, he took four wickets against Australia. Netherlands lost both matches, however."
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,
Vivian Kingma,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Vivian Kingma,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Aryan Dutt,Netherlands,Right hand Bat,Right arm Offbreak,Bowler,
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"In January 2024, he replaced Dimuth Karunaratne as Sri Lanka's Test captain. "
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"He burst into the domestic scene with a four-wicket haul in the 2013 BPL, but he suffered a knee injury soon after which kept him sidelined for nearly a year. He went through rehabilitation work during the time, and as he slowly recovered, Taskin bowled in the Bangladesh nets regularly."
Sybrand Engelbrecht,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,"He has had opportunities at higher levels though. In the 2014 Champions League T20, he was a late replacement to Cobras squad and played a starring role when he defended 11 runs in a Super Over to secure a win over Barbados Tridents. "
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter,
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"This was when Mustafizur started to develop the left-armer's offcutter, which was delivered as a spinner does but with the added ability of making it carry to the wicketkeeper standing back. The story of Anamul Haque's dare that got him to bowl the delivery will go into Bangladeshi cricket folklore, as will the early support he received from Mashrafe Mortaza, who spotted him randomly in the Mirpur nets."
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"This was when Mustafizur started to develop the left-armer's offcutter, which was delivered as a spinner does but with the added ability of making it carry to the wicketkeeper standing back. The story of Anamul Haque's dare that got him to bowl the delivery will go into Bangladeshi cricket folklore, as will the early support he received from Mashrafe Mortaza, who spotted him randomly in the Mirpur nets."
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Shakib was made captain in all formats in 2009 after Mashrafe Mortaza was sidelined by injury. Under Shakib, Bangladesh won 22 out of 47 ODIs, and even beat England in the 2011 ODI World Cup. But the disappointing tour of Zimbabwe that followed, in which Bangladesh lost a one-off Test and the ODI series, led to his removal. He was brought back as captain in Tests in 2018, and put back in charge of the ODI side as well in 2023 when Tamim Iqbal quit, though Bangladesh had a disappointing World Cup that year under Shakib."
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Shakib was made captain in all formats in 2009 after Mashrafe Mortaza was sidelined by injury. Under Shakib, Bangladesh won 22 out of 47 ODIs, and even beat England in the 2011 ODI World Cup. But the disappointing tour of Zimbabwe that followed, in which Bangladesh lost a one-off Test and the ODI series, led to his removal. He was brought back as captain in Tests in 2018, and put back in charge of the ODI side as well in 2023 when Tamim Iqbal quit, though Bangladesh had a disappointing World Cup that year under Shakib."
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Soumya's ODI debut came against Zimbabwe in December 2014 and his first Test followed against Pakistan in April the next year, in which he made 33 in each innings. His first Test hundred was 149 against New Zealand in Hamilton; in that innings, he and Mahmudullah put on a 235-run partnership, helping Bangladesh save face after New Zealand racked up 715. In ODIs, Soumya starred with a hundred and three fifties (two of them big) during Bangladesh's golden run in 2015 when they won three series in a row, against Pakistan, India and South Africa. Four years later, his batting was to the fore again - three fifties on the trot - in Bangladesh's title win in a tri-series against West Indies and Ireland in Malahide.
"
Tanzid Hasan,Bangladesh,Left hand Bat,,Opening Batter,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"In May that year, he made his first ODI century, in a narrow win over Ireland. A month later he got his first Test hundreds at home - a twin effort in a massive victory over Afghanistan in Mirpur, following it up with a controlled, clinical hundred against a patient New Zealand attack in Bangladesh's next Test.
He went into the ODI World Cup having scored a half-century and a hundred in successive Asia Cup matches and kicked off the global tournament with two more 50-plus scores. Although a string of single-digit scores followed, Shanto broke the rut in style with a match-winning 90 in the infamous timed-out match against Sri Lanka - where it was he who pointed out to captain Shakib Al Hasan that Bangladesh had the right to appeal against Angelo Matthews for taking too long to face his first ball. 
In his first major series as the long-term captain, against Sri Lanka at home in 2024, Shanto led Bangladesh to a 2-1 win in ODIs at home over Sri Lanka, but lost the T20I and Test series. Ahead of the 2024 T20 World Cup, Bangladesh lost a series to USA as well."
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. "
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"He made his ODI debut against Sri Lanka in 2007 and was labeled a limited-overs specialist for some time and he delivered in short bursts, hardly setting the world on fire. But his eight-wicket haul on Test debut (including a five-for in the second innings) against West Indies in 2009 spurred him on as he suddenly averaged 193 with the bat in the ODI tri-series against India and Sri Lanka later that year."
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A compact batter with a good defence and flair, Litton made 44 in his first Test, against India in Fatullah in mid-2015, and followed that up with a fifty that helped fetch a first-innings lead against South Africa in Chattogram. In Bloemfontein two years on, he top-scored for Bangladesh with 70 after the home side racked up a massive total. He made 94 against Sri Lanka in the match after that, but his first Test hundred took nearly another four years to materialise, coming late in 2021 against Pakistan, in Chattogram again. He top-scored in the second innings of that game too, with 59, but Pakistan won thanks to a feeble performance by the other Bangladesh batters. That match came near the start of a nine-Test purple patch, spanning about 11 months running from mid-2021, in which Litton averaged a little under 60, making three hundreds and five fifties, including 102 after Bangladesh followed on in Christchurch."
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Bowler,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"He burst into the domestic scene with a four-wicket haul in the 2013 BPL, but he suffered a knee injury soon after which kept him sidelined for nearly a year. He went through rehabilitation work during the time, and as he slowly recovered, Taskin bowled in the Bangladesh nets regularly."
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Bowler,
Kushal Malla,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Salt smashed two Championship hundreds from the top of the order - including 148 off 138 balls against Derbyshire - and a strike-rate of 172 in the Blast helped Sussex to the Blast final, which they might well have won but for his calamitous run out in the second over. He was talent-spotted by Lahore Qalandars, who invited him to play in the Abu Dhabi T20 trophy - a Champions League-lite - but Islamabad United swooped to sign him in the PSL draft instead. "
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"In 2017 he made his first Test hundred, against India in Ranchi. He was subsequently briefly dropped from the ODI side but came back and made his third T20I century in Bangalore early in 2019 to help Australia chase 191. The ODI series against Pakistan in the UAE that followed was a high point as well."
Aasif Sheikh,Nepal,Right hand Bat,,Wicketkeeper Batter,
Sompal Kami,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Dipendra Singh Airee,Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,"However, his biggest asset might be his electric fielding. Whether stationed inside the ring in the powerplay or out on the boundary during the slog overs at the death, Airee is a magnet for the ball, pulling off some sensational catches and spectacular run outs.
"
Kaleemullah,Oman,Right hand Bat,Right arm Medium,Bowler,"Since then, he has become an effective and sometimes devastating presence in the Oman bowling attack. Kaleemullah has a reputation as a rhythm bowler who uses his height and bounce to unsettle opposing batters. His best success has come in lengthy new-ball spells probing away with line and length, whether it is bowling four straight overs in T20 cricket or seven to eight overs in ODIs. He was a key member of the bowling unit that helped take Oman to ODI status in 2019 and has remained a steady wicket-taker in the years since.
"
Rohit Paudel,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"Mumbai Indians' decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the game's formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the world's most sought-after T20 finishers over the previous 12 months."
Kushal Bhurtel,Nepal,Right hand Bat,Legbreak Googly,Opening Batter,
Sandeep Lamichhane,Nepal,Right hand Bat,Legbreak Googly,Bowler,"
Lamichhane's first foray on the international stage came at the 2016 Under-19 World Cup in Bangladesh where he was Nepal's leading wicket-taker with 14 in six games including a five-for against Ireland. Not long after, he made his senior-team debut against Namibia in the WCL Championship and was a regular throughout the rest of the tournament, proving himself a major asset as a result of his impressive accuracy for a young wristspinner."
Dipendra Singh Airee,Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,"However, his biggest asset might be his electric fielding. Whether stationed inside the ring in the powerplay or out on the boundary during the slog overs at the death, Airee is a magnet for the ball, pulling off some sensational catches and spectacular run outs.
"
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,
Kushal Bhurtel,Nepal,Right hand Bat,Legbreak Googly,Opening Batter,
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,"Arshdeep is one of only three Indian bowlers, after Jhulan Goswami and Ajit Agarkar, to start his T20I career with a maiden over. A death-overs specialist known for his accurate yorkers and 140kph-plus deliveries, he made his international debut in England in 2022."
Rohit Paudel,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder,"When this first-class runs tally was followed by a stretch of good bowling form in List A domestic tournaments, Hasaranga piqued the national selectors' interest. He was chosen in Sri Lanka's squad for the first two one-dayers against Zimbabwe in June 2017, with his fielding also cited as a reason for his selection. And what a debut it subsequently was; he became the third debutant in ODI history to claim a hat-trick when he wiped out Zimbabwe's tail with the 14th, 15th and 16th deliveries of his international career.Andrew Fidel Fernando"
Sandeep Lamichhane,Nepal,Right hand Bat,Legbreak Googly,Bowler,"
Lamichhane's first foray on the international stage came at the 2016 Under-19 World Cup in Bangladesh where he was Nepal's leading wicket-taker with 14 in six games including a five-for against Ireland. Not long after, he made his senior-team debut against Namibia in the WCL Championship and was a regular throughout the rest of the tournament, proving himself a major asset as a result of his impressive accuracy for a young wristspinner."
Anil Sah,Nepal,Right hand Bat,Right arm Offbreak,Wicketkeeper,
Jaker Ali,Bangladesh,Right hand Bat,,Batter,
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,
Sompal Kami,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. "
Sundeep Jora,Nepal,Right hand Bat,,Middle order Batter,
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Klaasen made 69 off 30 balls in his second T20I, against India in Centurion in 2018. His first international hundred also came at home, an unbeaten 123 in a big one-day win over Australia in Paarl two years on. In 2023, he stunned the same opposition with a breathtaking display of power-hitting in Centurion to score 174 off 83 balls - the second-highest individual score by a batter playing at No. 5 or lower in ODIs."
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Batter,
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"A batter of class and composure, aggressive and strong on the off side, Markram did well in limited-overs cricket as well. In 2021, he was South Africa's leading run-maker in ODIs, had a stellar T20 World Cup,  and was named the T20I Player of the Year in Cricket South Africa's awards for the year.
"
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"During the opening first-class match of the 2016-17 season, Maharaj picked up 13 for 157, and was then told he would be on South Africa's Test tour to Australia. Maharaj debuted at the WACA, an unusual place for a spinner, given the conditions, but did a remarkable job. In an innings in which he had to hold one end when Dale Steyn was injured, Maharaj bowled well enough to allow the other two seamers to be rotated at the other side. He took 3 for 56 in the first innings, four in the match, and scored an unbeaten 41 to show great promise for the future."
Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Gulsan Jha,Nepal,Left hand Bat,Right arm Medium,Bowler,
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,"With an ability to combine high speed with late swing, Nortje is the ideal successor to his hero Dale Steyn in South Africa's pace attack. "
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. "
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"Hendricks rose through the South African domestic ranks with consistent performances in the limited-overs game, first for Griqualand West and then for the Lions franchise. His talent was spotted young, and he was part of South Africa's squad for the Under-19 World Cup in Malaysia in 2008, which met Virat Kohli's India team in the tournament final. "
Marco Jansen,South Africa,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
Sadeera Samarawickrama,Sri Lanka,Right hand Bat,,Wicketkeeper Batter,"While Kusal Mendis - his team-mate from that U-19 side - was fast-tracked to the national side, Samarawickrama would have to earn his place through first-class performances. His first season with Colts Cricket Club was modest, but his second was good, and his third outstanding. Samarawickrama topped Tier-A run charts with 1016 runs at 59.76 in the 2016-17 season. On his debut for Sri Lanka A in February 2017, he cracked 185 runs off 223 balls against a strong England Lions attack. "
Ottneil Baartman,South Africa,Right hand Bat,Right arm Medium fast,Bowler,
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Jacks played for Surrey in all three formats in the Championship-winning season of 2018, at the age of 19, and by his early 20s was an established first-team regular. He earned his Test call-up for England's 2022 Pakistan tour after an impressive all-round season for Surrey, developing his offspin under head coach Gareth Batty's tutelage, and also won caps for the T20I and ODI teams. He was also the second man to score a century in the Hundred, playing for Oval Invincibles against defending champions Southern Brave."
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"But Wood was not to be denied. Abandoning a short run-up that was a characteristic of his career up until the latter part of 2018, Wood instead reasoned a longer approach to the crease would put less pressure on his body and allow him to hit the speeds his early career had promised."
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Jacks played for Surrey in all three formats in the Championship-winning season of 2018, at the age of 19, and by his early 20s was an established first-team regular. He earned his Test call-up for England's 2022 Pakistan tour after an impressive all-round season for Surrey, developing his offspin under head coach Gareth Batty's tutelage, and also won caps for the T20I and ODI teams. He was also the second man to score a century in the Hundred, playing for Oval Invincibles against defending champions Southern Brave."
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"In 2015, Shamsi was bought by Caribbean Premier League franchise St Kitts and Nevis Patriots, where Eric Simons was coach. There, Shamsi rose to some prominence, taking 11 wickets at 13.27 in the seven matches he played."
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"A batter of class and composure, aggressive and strong on the off side, Markram did well in limited-overs cricket as well. In 2021, he was South Africa's leading run-maker in ODIs, had a stellar T20 World Cup,  and was named the T20I Player of the Year in Cricket South Africa's awards for the year.
"
Aaron Jones,U.S.A.,Right hand Bat,Legbreak Googly,Top order Batter,
Nangeyalia Kharote,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Shayan Jahangir,U.S.A.,Right hand Bat,Right arm Medium fast,Batter,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"His sister, Louise McCarthy, has also represented Ireland Women.

ESPNcricinfo staff"
Andries Gous,U.S.A.,Right hand Bat,,Wicketkeeper Batter,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"His sister, Louise McCarthy, has also represented Ireland Women.

ESPNcricinfo staff"
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,"After a string of 20s and 30s against lesser opposition, Tector showed signs that he performs better on a bigger stage after he made 79 off 68 balls to help take Ireland to their first ever ODI win over South Africa, in July 2021. Since then, he hasn't looked back, making three fifties in Jamaica in an ODI series win over West Indies to start 2022. That run came in a stretch of nine ODI innings where he made seven scores of over 50, the last two of them hundreds against New Zealand. In between whiles he also made an unbeaten 64 off 33 balls in a rain-shortened T20 against India at Malahide. "
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,"In the two years leading up to his appointment, Balbirnie averaged over 42 in ODIs (with five hundreds) and struck at over 142 in T20Is, having made big contributions against Afghanistan, West Indies and Zimbabwe. 
"
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"He made headlines after trapping Sachin Tendulkar lbw in the 2011 ODI World Cup as an 18-year-old, and went on to captain Ireland in the 2012 Under-19 World Cup, finishing that year as the ICC Associate Player of the Year. Three years later, he took 3 for 50 in a big win over West Indies in the ODI World Cup in Australia, Ireland won three of their six games."
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"While Stirling made a fine impression for Middlesex in limited overs cricket, he languished in the second eleven in the Championship. But when he got a chance in 2014, he averaged 43.87 in six games, suggesting that he was capable of managing the transition between the white and red ball. Although he has been troubled by a back injury, which has limited his ability to bowl, Stirling is also a highly competent back-up offspinner. He has frequently bowled his full allocation of overs for Ireland in ODIs and, with 1-45 from ten overs, was Ireland's most economical bowled during their victory over England in Bangalore in the 2011 World Cup."
Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter,"In the T20 World Cup in 2022, Tucker was Ireland's top scorer. He made 71 not out against Australia in an innings where his team's next-highest score was 14, an unbeaten 45 in an impressive chase against West Indies that Ireland won, and 34 to set England a target that they failed to reach."
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Campher, a diminutive seam-bowling allrounder, has ambitions to move up the order and bat in the top six. He moved to Munster Reds ahead of the 2021 domestic season after playing for Leinster Lightning in his first summer as an adopted Irishman, though ankle surgery provided a setback. It was Niall O'Brien, the long-standing Ireland wicketkeeper, who first discovered that Campher qualified - thanks to his grandmother, who was brought up in Derry - while chatting to him during a warm-up match for the 2019 World Cup Qualifier."
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"In 2020, he was key performer in Ireland's T20I victory against West Indies in the Caribbean, taking 3 for 29 while defending 208, and took five wickets in two ODIs against England later that year."
Ben White,Ireland,Right hand Bat,Legbreak,Bowler,
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Campher, a diminutive seam-bowling allrounder, has ambitions to move up the order and bat in the top six. He moved to Munster Reds ahead of the 2021 domestic season after playing for Leinster Lightning in his first summer as an adopted Irishman, though ankle surgery provided a setback. It was Niall O'Brien, the long-standing Ireland wicketkeeper, who first discovered that Campher qualified - thanks to his grandmother, who was brought up in Derry - while chatting to him during a warm-up match for the 2019 World Cup Qualifier."
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"In 2020, he was key performer in Ireland's T20I victory against West Indies in the Caribbean, taking 3 for 29 while defending 208, and took five wickets in two ODIs against England later that year."
Ben White,Ireland,Right hand Bat,Legbreak,Bowler,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,ESPNcricinfo staff
Teja Nidamanuru,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,"A world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered."
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Sherfane Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,
Kabua Morea,P.N.G.,Right hand Bat,Left arm Medium,Bowler,
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,"A world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered."
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,"Charles also showed sparks of brilliance during his 84 against England in Pallekele in 2012, and 57 against Australia in Brisbane in 2013. Charles' knock helped West Indies secure their first win over Australia in any format for 16 years. Charles hit a century as well in the fifth ODI on that Australian tour, having elbowed way into the West Indies ODI team in 2012 with a string of startling displays for the Windward Islands in the Caribbean Twenty20 tournament."
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"He has been a consistent performer for Jamaica in white-ball cricket, with runs from the middle order, and captained the Tallawahs franchise in the 2020 CPL. He was Player of the Match in the final of the inaugural Abu Dhabi T10 League in 2018, hitting 61 not out off 25 balls for the victorious Northern Warriors."
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,"Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after. 
"
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"At the start of 2019, Chase took an eight-for and made 54 in a massive win over England in Barbados. He hit a rough patch batting-wise in Tests in the middle of that year, but nearly made his first ODI hundred in November - he ran out of deliveries and finished on 94 as West Indies chased 195. "
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"At the start of 2019, Chase took an eight-for and made 54 in a massive win over England in Barbados. He hit a rough patch batting-wise in Tests in the middle of that year, but nearly made his first ODI hundred in November - he ran out of deliveries and finished on 94 as West Indies chased 195. "
Assad Vala,P.N.G.,Left hand Bat,Right arm Offbreak,Batter,
Charles Amini,P.N.G.,Left hand Bat,Legbreak,Allrounder,"But Amini is perhaps best known for his dynamic fielding. Whether it is pulling off outrageous one-handed catches or his electric speed to the ball before firing direct hits into the stumps, he has built a reputation as a fielder not worth taking unnecessary risks on."
Gudakesh Motie,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"One of many Guyanese cricketers of Indian heritage, Gudakesh Motie is a tall left-arm spinner who, despite a short international career so far, has become West Indies' primary spinner across formats. Outside his home island of Guyana, Motie's name first came up during the 2014 Under-19 World Cup. He didn't set the stage alight, returning six wickets in six bowling innings at 34.83, but has built steadily since, as his numbers across formats show. First came a T20I debut, against Pakistan in Karachi in late 2021, and the Test and ODI debuts followed, at home against Bangladesh in mid-2022."
